Date, Data
2018-01-01, 57.6002
2018-01-02, 57.6002
2018-01-03, 57.6002
2018-01-04, 57.6002
2018-01-05, 57.6002
2018-01-06, 57.6002
2018-01-07, 57.6002
2018-01-08, 57.6002
2018-01-09, 57.6002
2018-01-10, 57.0463
2018-01-11, 56.8734
2018-01-12, 56.9957
2018-01-13, 56.6019
2018-01-14, 56.6019
2018-01-15, 56.6019
2018-01-16, 56.3569
2018-01-17, 56.3878
2018-01-18, 56.5925
2018-01-19, 56.7597
2018-01-20, 56.5892
2018-01-21, 56.5892
2018-01-22, 56.5892
2018-01-23, 56.6261
2018-01-24, 56.4115
2018-01-25, 56.3888
2018-01-26, 55.9288
2018-01-27, 55.8288
2018-01-28, 55.8288
2018-01-29, 55.8288
2018-01-30, 56.2908
2018-01-31, 56.2914
2018-02-01, 56.1840
2018-02-02, 56.2613
2018-02-03, 56.0408
2018-02-04, 56.0408
2018-02-05, 56.0408
2018-02-06, 56.6278
2018-02-07, 57.2196
2018-02-08, 56.9533
2018-02-09, 57.6736
2018-02-10, 58.1718
2018-02-11, 58.1718
2018-02-12, 58.1718
2018-02-13, 58.0171
2018-02-14, 57.7701
2018-02-15, 57.5899
2018-02-16, 56.5918
2018-02-17, 56.3554
2018-02-18, 56.3554
2018-02-19, 56.3554
2018-02-20, 56.3438
2018-02-21, 56.5201
2018-02-22, 56.6537
2018-02-23, 56.7608
2018-02-24, 56.7608
2018-02-25, 56.7608
2018-02-26, 56.7608
2018-02-27, 55.9208
2018-02-28, 55.6717
2018-03-01, 56.3742
2018-03-02, 56.4334
2018-03-03, 56.6616
2018-03-04, 56.6616
2018-03-05, 56.6616
2018-03-06, 57.1000
2018-03-07, 56.5041
2018-03-08, 56.8011
2018-03-09, 56.8011
2018-03-10, 56.8011
2018-03-11, 56.8011
2018-03-12, 56.8011
2018-03-13, 56.6122
2018-03-14, 56.9359
2018-03-15, 56.9372
2018-03-16, 57.0188
2018-03-17, 57.4942
2018-03-18, 57.4942
2018-03-19, 57.4942
2018-03-20, 57.5521
2018-03-21, 57.7033
2018-03-22, 57.4954
2018-03-23, 56.8391
2018-03-24, 57.1072
2018-03-25, 57.1072
2018-03-26, 57.1072
2018-03-27, 57.0039
2018-03-28, 57.1747
2018-03-29, 57.5598
2018-03-30, 57.7626
2018-03-31, 57.2649
2018-04-01, 57.2649
2018-04-02, 57.2649
2018-04-03, 57.2850
2018-04-04, 57.5375
2018-04-05, 57.7646
2018-04-06, 57.5796
2018-04-07, 57.8332
2018-04-08, 57.8332
2018-04-09, 57.8332
2018-04-10, 58.5714
2018-04-11, 62.3699
2018-04-12, 64.0626
2018-04-13, 62.0659
2018-04-14, 61.4311
2018-04-15, 61.4311
2018-04-16, 61.4311
2018-04-17, 62.2794
2018-04-18, 61.1454
2018-04-19, 61.5539
2018-04-20, 60.8583
2018-04-21, 61.3222
2018-04-22, 61.3222
2018-04-23, 61.3222
2018-04-24, 61.7655
2018-04-25, 61.6644
2018-04-26, 61.7494
2018-04-27, 62.6027
2018-04-28, 62.7260
2018-04-29, 61.9997
2018-04-30, 61.9997
2018-05-01, 61.9997
2018-05-02, 61.9997
2018-05-03, 61.9997
2018-05-04, 63.4860
2018-05-05, 63.2012
2018-05-06, 63.2012
2018-05-07, 63.2012
2018-05-08, 62.7148
2018-05-09, 63.0066
2018-05-10, 63.0066
2018-05-11, 62.5229
2018-05-12, 61.7354
2018-05-13, 61.7354
2018-05-14, 61.7354
2018-05-15, 61.7684
2018-05-16, 61.9164
2018-05-17, 62.3033
2018-05-18, 61.8215
2018-05-19, 61.9408
2018-05-20, 61.9408
2018-05-21, 61.9408
2018-05-22, 62.5327
2018-05-23, 61.2610
2018-05-24, 61.5945
2018-05-25, 61.4090
2018-05-26, 61.6659
2018-05-27, 61.6659
2018-05-28, 61.6659
2018-05-29, 62.2710
2018-05-30, 62.6420
2018-05-31, 62.5937
2018-06-01, 62.0188
2018-06-02, 62.2056
2018-06-03, 62.2056
2018-06-04, 62.2056
2018-06-05, 61.9290
2018-06-06, 61.9822
2018-06-07, 62.0064
2018-06-08, 61.8125
2018-06-09, 62.6680
2018-06-10, 62.3431
2018-06-11, 62.3431
2018-06-12, 62.3431
2018-06-13, 62.3431
2018-06-14, 63.1164
2018-06-15, 62.2511
2018-06-16, 62.6851
2018-06-17, 62.6851
2018-06-18, 62.6851
2018-06-19, 63.4838
2018-06-20, 64.0683
2018-06-21, 63.6175
2018-06-22, 63.7873
2018-06-23, 63.2396
2018-06-24, 63.2396
2018-06-25, 63.2396
2018-06-26, 62.9497
2018-06-27, 62.7908
2018-06-28, 63.1359
2018-06-29, 63.2910
2018-06-30, 62.7565
2018-07-01, 62.7565
2018-07-02, 62.7565
2018-07-03, 63.1394
2018-07-04, 63.2194
2018-07-05, 63.2267
2018-07-06, 63.2604
2018-07-07, 63.1216
2018-07-08, 63.1216
2018-07-09, 63.1216
2018-07-10, 62.8338
2018-07-11, 62.4442
2018-07-12, 62.0980
2018-07-13, 62.2062
2018-07-14, 62.2934
2018-07-15, 62.2934
2018-07-16, 62.2934
2018-07-17, 62.2556
2018-07-18, 62.4352
2018-07-19, 62.9006
2018-07-20, 63.2746
2018-07-21, 63.4888
2018-07-22, 63.4888
2018-07-23, 63.4888
2018-07-24, 63.1957
2018-07-25, 62.9235
2018-07-26, 63.0836
2018-07-27, 62.9471
2018-07-28, 62.9726
2018-07-29, 62.9726
