Date, Data
2021-01-01, 73.8757
2021-01-02, 73.8757
2021-01-03, 73.8757
2021-01-04, 73.8757
2021-01-05, 73.8757
2021-01-06, 73.8757
2021-01-07, 73.8757
2021-01-08, 73.8757
2021-01-09, 73.8757
2021-01-10, 73.8757
2021-01-10, -
2021-01-12, 74.5157
2021-01-13, 74.2663
2021-01-14, 73.5264
2021-01-15, 73.7961
2021-01-16, 73.5453
2021-01-17, 73.5453
2021-01-18, 73.5453
2021-01-19, 73.9735
2021-01-20, 73.7243
2021-01-21, 73.3550
2021-01-22, 73.3694
2021-01-23, 74.3615
2021-01-24, 74.3615
2021-01-25, 74.3615
2021-01-26, 74.8569
2021-01-27, 75.6354
2021-01-28, 75.0400
2021-01-29, 76.1854
2021-01-30, 76.2527
2021-01-31, 76.2527
2021-02-01, 76.2527
2021-02-02, 75.5053
2021-02-03, 75.9051
2021-02-04, 76.0801
2021-02-05, 75.7293
2021-02-06, 75.1107
2021-02-07, 75.1107
2021-02-08, 75.1107
2021-02-09, 74.2602
2021-02-10, 74.1192
2021-02-11, 73.8526
2021-02-12, 73.7579
2021-02-13, 73.9378
2021-02-14, 73.9378
2021-02-15, 73.9378
2021-02-16, 73.3092
2021-02-17, 73.2895
2021-02-18, 73.7669
2021-02-19, 73.7755
2021-02-20, 73.9717
2021-02-21, 73.9833
2021-02-22, 73.9833
2021-02-23, 73.9833
2021-02-24, 73.9833
2021-02-25, 73.7532
2021-02-26, 73.4747
2021-02-27, 74.4373
2021-02-28, 74.4373
2021-03-01, 74.4373
2021-03-02, 74.0448
2021-03-03, 74.5755
2021-03-04, 73.5187
2021-03-05, 73.7864
2021-03-06, 74.4275
2021-03-07, 74.4275
2021-03-08, 74.4275
2021-03-09, 74.4275
2021-03-10, 74.2640
2021-03-11, 74.0393
2021-03-12, 73.4996
2021-03-13, 73.5081
2021-03-14, 73.5081
2021-03-15, 73.5081
2021-03-16, 73.2317
2021-03-17, 72.9619
2021-03-18, 73.1019
2021-03-19, 73.6582
2021-03-20, 74.1390
2021-03-21, 74.1390
2021-03-22, 74.1390
2021-03-23, 74.6085
2021-03-24, 75.3585
2021-03-25, 76.1535
2021-03-26, 76.1741
2021-03-27, 75.7576
2021-03-28, 75.7576
2021-03-29, 75.7576
2021-03-30, 75.8287
2021-03-31, 75.7023
2021-04-01, 75.6373
2021-04-02, 75.8073
2021-04-03, 76.0734
2021-04-04, 76.0734
2021-04-05, 76.0734
2021-04-06, 76.6052
2021-04-07, 76.3802
2021-04-08, 77.7730
